"Cikkszám";"Termék Név";"Státusz";"Nettó Ár";"Bruttó Ár";"Rövid Leírás";"Tulajdonságok";"Link";"Min. Menny.";"Max. Menny.";"Raktárkészlet";"Vásárolható, ha nincs Raktáron";"Változatokhoz Raktárkészlet";"Alacsony készlet";"Kép kapcsolat"
"H101";"Bibi Happiness cumi 0-6 hónap";"2";"1724.4094";"2190";"0-6 hónapos korig";"";"";"1";"";"1";"0";"0";"";""
"H132";"Eccomum Etetőcumi (2db)";"2";"2354.3307";"2990";"Termék ellenőrzés miatt bontott doboz<br />Az Ecconum etetőcumi segít a babák megnyugtatásában, <br />miközben friss, egészséges és tápanyagokban gazdag ételeket csempész a csöppséged napi étrendjébe";"";"";"1";"";"1";"0";"0";"";""
"F015";"Filibabba® Limited Edition 0-6 hónapos cumikészlet(2db)";"1";"1566.9291";"1990";"Szilikonból készült baba cumi<br />Fogszabályozó cumi<br /> Tökéletes cumi kisgyermekek és csecsemők számára.<br /> A cumik praktikus tároló és fertőtlenítő dobozban vannak, amely mikrohullámú sütőben történő fertőtlenítésre is használható.<br />A kép illusztráció de a termék kinézete megegyezik vele(szín,modell)";"";"";"1";"";"12";"0";"0";"";""
"F031";"Lelekka Standard Cumisüveg köralakú Latex cumival ";"1";"1173.2283";"1490";"Ergonomikus alakú szabványos üveg, szivárgásmentes, könnyen tölthető és tisztítható<br />A Lelekka üvegpalack hőálló<br />Biztonságosan tárolható hűtőszekrényben<br />Sterilizálásra is alkalmas<br />Doboz tartalma: Lelekka üvegpalack védősapkával és latex cumival, M méret (0+ hónap), mosogatógépben mosható<br />240 ml";"";"";"1";"";"5";"0";"0";"";""
"F067";"MAM Easy active cumisüveg szett (új,sérült gyári csomagolás)";"1";"1960.6299";"2490";"4 hónapos kortól<br />Gyors átfolyású cumival<br />Védőkupak<br />Skinsoft szilikon szívóka<br />Ergonómikus forma<br />-A kép illusztráció de a termék kinézete megegyezik vele(szín,modell)";"";"";"1";"";"1";"0";"0";"";""
"H032";"MAM Easy Start Anti-Colic 2x260ml";"1";"2354.3307";"2990";"<!HTML KOD><p><strong>Új termék, Sérült doboz</strong><br />Kevesebb kólika és büfizés a MAM szelepes talpnak köszönhetően <br />Széles nyílások az egyszerű töltésért és tisztításért</p>";"";"";"1";"";"1";"0";"0";"";""
"E058";"Medela breastfeeding start szett";"1";"5110.2362";"6490";"Doboz tartalma:-2db 150ml anyatejtartó palack<br />                            -5db Pump&save anyatej tasak<br />                            -12db Melltartó betét<br />                            -Bimbó krém Purelan 100<br />                            -Quick Clean tasak fertőtlenitésre<br />                            ";"";"";"1";"";"1";"0";"0";"";""
"H171";"MEDELA Calma 150 ml 3 pcs tejtároló edény";"2";"2748.0315";"3490";"<!HTML KOD><p><strong>Új, sérült csomagolás</strong><br />Anyaga: műanyag<br />Űrtartalom (ml): 150<br />Kiszerelés (db): 3<br />Az anyatej higiénikus tárolására alkalmas hűtő- vagy fagyasztószekrényben<br />Tartozéka: 3 leszorító gyűrű, 3 zárókupak<br />Közvetlenül csatlakoztatható: minden Medela mellszívóhoz</p>";"";"";"1";"";"1";"0";"0";"";""
"C118";"Medela cumisüveg  Szett, 4er (2 x 150 ml + 2 x 250 ml) +anyatej zacskó";"1";"5110.2362";"6490";"<!HTML KOD><p><span style=""color: #ff0000;""><strong>Új, Bontott dobozos termék, ellenőrzés miatt</strong></span><br />Anyaga: műanyag<br />Kiszerelés (db): 4<br />Az anyatej higiénikus tárolására alkalmas hűtő- vagy fagyasztószekrényben<br />Közvetlenül csatlakoztatható: minden Medela mellszívóhoz</p>";"";"";"1";"";"2";"0";"0";"";""
"C106";"NUK  First Choice Plus Starter Set 4 0-6 cumisüveg szett(üveg,szilikon)";"1";"6291.3386";"7990";"-0-6 hónapos korig<br />-Hőálló, üveg cumisüveg<br />-Anti-colic<br />-2x120ml<br />-2x240ml";"";"";"1";"";"3";"0";"0";"";""
"C107";"NUK  First Choice Plus Starter Set üveg 4 0-6 cumisüveg latex";"1";"6291.3386";"7990";"-0-6 hónapos korig<br />-Hőálló, üveg cumisüveg<br />-Anti-colic<br />-2x120ml<br />-2x240ml";"";"";"1";"";"1";"0";"0";"";""
"C137";"NUK  First Choice Plus Starter Set üveg 4 0-6 cumisüveg latex(doboz nélkül)";"1";"5110.2362";"6490";"-0-6 hónapos korig<br />-Hőálló, üveg cumisüveg<br />-Anti-colic<br />-2x240ml<br />-2x120ml";"";"";"1";"";"1";"0";"0";"";""
"H057";"NUK  First Choice Plus Starter szett 3db cumisüveg(szilikon)doboz nélkül";"1";"2354.3307";"2990";"<!HTML KOD><p><strong>-Új, csomagolás nélküli termék</strong><br />-0-6 hónapos korig<br />-Anti-colic<br />-1x300ml<br />-2x150ml</p>";"";"";"1";"";"1";"0";"0";"";""
"C144";"NUK  First Choice Plus Starter szett 4db cumisüveg(szilikon)doboz nélkül";"1";"2826.7717";"3590";"-0-6 hónapos korig<br />-Anti-colic<br />-2x300ml<br />-2x150ml";"";"";"1";"";"1";"0";"0";"";""
"C132";"NUK  Nature Sense cumisüveg szett 0-6 hónaposig (Üveg)";"1";"7866.1417";"9990";"-Extra széles üvegnyak a könnyű töltés és tisztítás érdekében<br />- Egyszerűen kezelhető, ergonomikus alak<br />-Anyaga:üveg<br />--Anti-colic<br />-1x120ml<br />-2x240ml<br />";"";"";"1";"";"2";"0";"0";"";""
"H116";"NUK Disney Mickey First Choice Cumisüveg";"2";"2354.3307";"2990";"2-es méretű szilikonból (6-18 hónapos) M <br />300ml";"";"";"1";"";"2";"0";"0";"";""
"H117";"NUK Disney Minnie First Choice";"2";"2354.3307";"2990";"2-es méretű szilikonból (6-18 hónapos) M <br />300ml";"";"";"1";"";"3";"0";"0";"";""
"G042";"NUK First Choice  cumisüveg készlet 3x300ml";"2";"4716.5354";"5990";"Az extra-puha fogszabályozós cumi finoman alkalmazkodik a csecsemő szájpadlásához<br />Az integrált hőmérő megmutatja, ha a tej túl forró, és az innovatív kólikaellenes szelep megakadályozza a levegő lenyelését.<br />Tartalmaz: 3 x 300 ml-es palack (0-6 hónap, M méret); Németországban készült; BPA mentes";"";"";"1";"";"1";"0";"0";"";""
"F018";"NUK First Choice + Anti - Colic 0-6 m S etetőcumi szilikon";"1";"1173.2283";"1490";"Kiszerelés (db): 2<br />Ajánlott kor (hó): 0-6<br />Anyaga: szilikon";"";"";"1";"";"6";"0";"0";"";""
"E035";"NUK First Choice Plus cumisüvegszett 300ml, Silikon, 0-6 ";"1";"3929.1339";"4990";"0-6 hónapos kori gyermekeknek<br />3 db 300ml cumisüveg";"";"";"1";"";"1";"0";"0";"";""
"H115";"NUK First Choice+ Perfect Start Themperature control Cumisüveg szett";"2";"6291.3386";"7990";"<!HTML KOD><p><strong>Új, csomagolás nélküli termék</strong><br />A tökéletes kombináció mindennel, amire az újszülöötnek szüksége van<br />Az extra lágy zónával rendelkező fogszabályozó cumi finoman alkalmazkodik a csecsemő szájpadlásához; <br />A készlet kis és közepes méretű ivónyílásokkal ellátott cumit tartalmaz<br />Az integrált hőmérséklet-szabályozás megmutatja, ha a tej túl forró, és az innovatív kólikaellenes szelep megakadályozza a levegő lenyelését<br />2 x 150 ml-es üveg (0–6 hónap, S méret); <br />2 x 300 ml-es üveg (6-18 hónap, M méret); <br />2 x szilikon cumi (0–6 hónap, S méret); <br />1 x szivárgásmentes fedél; <br />1 x palackkefe 2 az 1-ben; <br />1 x Genius cumi (0–6 hónap); <br />1 x cumi doboz</p>";"";"";"1";"";"1";"0";"0";"";""
"C066";"NUK Nature Sense  Set, 3x 260ml cumusüveg, 6-18";"1";"4716.5354";"5990";"Űrtartalom: 260ml<br />Ajánlott kor : 6-18 (hó)<br />Szuperérzékeny hasfájásmegelőző kialakítás<br />Újszülöttkortól használható";"";"";"1";"";"no";"0";"1";"";""
"H029";"NUK Nature Sense 240ml (Üveg)";"1";"2354.3307";"2990";"Életkor	0 - 6 hónap<br />Anyag	Üveg<br />Folyáserősség	Közepes<br />Funkciók	Anti-Colic";"";"";"1";"";"4";"0";"0";"";""
"F073";"PHILIPS AVENT  Anti-Colic with AirFree vent 125ml cumisüveg (Új,gyári csomagolás nélkül)";"1";"1566.9291";"1990";"Cumisüveg anyaga: BPA mentes polipropilén műanyag<br />Cumifej anyaga: szilikon<br />Űrtartalom (ml): 125<br />Ajánlott kor (hó): 0+<br />Szuperérzékeny hasfájásmegelőző kialakítás<br />Újszülöttkortól használható<br />-A kép illusztráció de a termék kinézete megegyezik vele(szín,modell)";"";"";"1";"";"0";"0";"0";"";""
"B040";"Philips Avent Natural Cumisüveg Szett";"1";"5118.1102";"6500";"<!HTML KOD><p><strong>Új, csomagolás nélküli termék. A kiscumi hiányzik</strong><br />Újszülött kortól<br />2x125ml<br />2x260ml</p>";"";"";"1";"";"0";"0";"0";"";""
"H017";"Suavinex Cumi tartó";"2";"1488.189";"1890";"2 az 1-ben<br />Rugalmas fogantyú<br />Új: design a dobozon";"";"";"1";"";"1";"0";"0";"";""
"C103";"Tommee Tippee  Set Closer to Nature Újszülött kortól cumisüveg szett";"1";"7078.7402";"8990";"Újszülött kortól<br />Anti-colic<br />3x260ml<br />3x150ml";"";"";"1";"";"1";"0";"0";"";""
"H130";"Elektromos mellszívó";"2";"8653.5433";"10990";"Új bontott dobozos termék<br />2 pumpálási mód<br />10 szívási fokozat<br />Egykézzel könnyen használható";"";"";"1";"";"1";"0";"0";"";""
